Token,Uid,Link
RepDevinNunes,344972339,https://twitter.com/RepDevinNunes
AngieCraigMN,411861905,https://twitter.com/AngieCraigMN
benraylujan,91125308,https://twitter.com/benraylujan
bradyfortexas,570005456,https://twitter.com/bradyfortexas
chiproytx,1257667158,https://twitter.com/chiproytx
chuck4congress,50036176,https://twitter.com/chuck4congress
CongJoeWilson,15116570,https://twitter.com/CongJoeWilson
larsenrick,158520264,https://twitter.com/larsenrick
marygayscanlon,961312723035394048,https://twitter.com/marygayscanlon
pallonefornj,1265423480,https://twitter.com/pallonefornj
reschenthaler,477223342,https://twitter.com/reschenthaler
EleanorNorton,23600262,https://twitter.com/EleanorNorton
Kilili_Sablan,926446070812602371,https://twitter.com/Kilili_Sablan
RepAmata,3026622545,https://twitter.com/RepAmata
RepJenniffer,819744763020775425,https://twitter.com/RepJenniffer
RepRobBishop,148006729,https://twitter.com/RepRobBishop
StaceyPlaskett,2724095695,https://twitter.com/StaceyPlaskett
Andy_Levin,21061366,https://twitter.com/Andy_Levin
AnnMcLaneKuster,89992368,https://twitter.com/AnnMcLaneKuster
Armstrong_ND,964996994623311874,https://twitter.com/Armstrong_ND
AyannaPressley,31013444,https://twitter.com/AyannaPressley
BrianFitzUSA,4905487413,https://twitter.com/BrianFitzUSA
CarolynBMaloney,119250381,https://twitter.com/CarolynBMaloney
ClyburnSC06,2389877058,https://twitter.com/ClyburnSC06
CongressmanJVD,1083469084648505344,https://twitter.com/CongressmanJVD
CoopForCongress,600470774,https://twitter.com/CoopForCongress
DanCrenshawTX,930552552302792705,https://twitter.com/DanCrenshawTX
DanLipinski,950758571821629441,https://twitter.com/DanLipinski
DaveJoyceOH14,727242919,https://twitter.com/DaveJoyceOH14
DavidKustoff,317386234,https://twitter.com/DavidKustoff
DebDingell,2361650234,https://twitter.com/DebDingell
DelgadoforNY19,829061809135030272,https://twitter.com/DelgadoforNY19
DerekKilmer,120518554,https://twitter.com/DerekKilmer
Donald_McEachin,459051498,https://twitter.com/Donald_McEachin
DonJBacon,3109108467,https://twitter.com/DonJBacon
DrMarkGreen4TN,93412074,https://twitter.com/DrMarkGreen4TN
Duncan4Congress,21048033,https://twitter.com/Duncan4Congress
DustyJohnson,140529899,https://twitter.com/DustyJohnson
ElaineLuriaVA,950111395378597888,https://twitter.com/ElaineLuriaVA
ElectConnolly,125706625,https://twitter.com/ElectConnolly
ElissaSlotkin,860547911268139008,https://twitter.com/ElissaSlotkin
Flores4Congress,97171189,https://twitter.com/Flores4Congress
GoDutchForMD,757666785244119040,https://twitter.com/GoDutchForMD
GregForMontana,3420965229,https://twitter.com/GregForMontana
GT_TeamGT,304138251,https://twitter.com/GT_TeamGT
Gwen4Congress,784965392,https://twitter.com/Gwen4Congress
Higgins4WNY,57334424,https://twitter.com/Higgins4WNY
HornForCongress,880850093548687360,https://twitter.com/HornForCongress
Ilhan,1082334352711790593,https://twitter.com/Ilhan
JaimeForUSRep,97963837,https://twitter.com/JaimeForUSRep
JenniferWexton,2212905492,https://twitter.com/JenniferWexton
Jim_Banks,14836282,https://twitter.com/Jim_Banks
JoeCunninghamSC,826589191412862976,https://twitter.com/JoeCunninghamSC
JohnRoseforTN,894940941039144962,https://twitter.com/JohnRoseforTN
JoshGottheimer,431105217,https://twitter.com/JoshGottheimer
JoyceBeatty,582070020,https://twitter.com/JoyceBeatty
JudgeJohnCarter,404355121,https://twitter.com/JudgeJohnCarter
KathyCastorFL,756123897783808000,https://twitter.com/KathyCastorFL
KindforCongress,156045092,https://twitter.com/KindforCongress
LindaTSanchez,917408119222923264,https://twitter.com/LindaTSanchez
Lizzie4Congress,857009033882083329,https://twitter.com/Lizzie4Congress
SteveScaliseGOP,2746741969,https://twitter.com/SteveScaliseGOP
LloydSmuckerPA,4212470319,https://twitter.com/LloydSmuckerPA
LuetkemeyerB,2554870803,https://twitter.com/LuetkemeyerB
MarcVeasey,20688358,https://twitter.com/MarcVeasey
MarioDBCamp,374816353,https://twitter.com/MarioDBCamp
MarkTakano,316165422,https://twitter.com/MarkTakano
McCaulforTexas,743601590,https://twitter.com/McCaulforTexas
McHenryCampaign,481437062,https://twitter.com/McHenryCampaign
MichaelJCloud,23725826,https://twitter.com/MichaelJCloud
MikeforWI,1558285818,https://twitter.com/MikeforWI
MikeRogersCamp,76069325,https://twitter.com/MikeRogersCamp
MikieSherrill,1577754348,https://twitter.com/MikieSherrill
MooneyforWV,1491350114,https://twitter.com/MooneyforWV
PaulTonko,153865861,https://twitter.com/PaulTonko
PramilaJayapal,193441812,https://twitter.com/PramilaJayapal
RalphNorman,61886317,https://twitter.com/RalphNorman
RatcliffeTX4,2196360306,https://twitter.com/RatcliffeTX4
ReElectNydia,721127537674489856,https://twitter.com/ReElectNydia
RepAlGreenTX,327625079,https://twitter.com/RepAlGreenTX
RepBalderson,1037341536592310272,https://twitter.com/RepBalderson
RepDeanPhillips,1061310112013434882,https://twitter.com/RepDeanPhillips
RepDebHaaland,1080695666760929280,https://twitter.com/RepDebHaaland
RepLynch,130901013,https://twitter.com/RepLynch
RepPeteOlson,20053279,https://twitter.com/RepPeteOlson
RobBishopUT,712783082336571392,https://twitter.com/RobBishopUT
SpanbergerVA07,882958562296819714,https://twitter.com/SpanbergerVA07
WilliamKeating,95546148,https://twitter.com/WilliamKeating
ABrindisiNY,915831762,https://twitter.com/ABrindisiNY
CartwrightPA,472315803,https://twitter.com/CartwrightPA
JudgeCarter,18030431,https://twitter.com/JudgeCarter
SteveChabot,23775782,https://twitter.com/SteveChabot
RepTimmons,1079770852302958592,https://twitter.com/RepTimmons
Tcardenas,2543742324,https://twitter.com/Tcardenas
BryanSteil,986423555025002497,https://twitter.com/BryanSteil
RepFredKeller,1136060761422405633,https://twitter.com/RepFredKeller
Lancegooden,1029094268542099457,https://twitter.com/Lancegooden
RepFinkenauer,1081256295469068288,https://twitter.com/RepFinkenauer
RepCarolMiller,1081318716573470720,https://twitter.com/RepCarolMiller
RepEdCase,1081350574589833221,https://twitter.com/RepEdCase
RepJohnJoyce,1082311988926124036,https://twitter.com/RepJohnJoyce
RepLucyMcBath,1082380458976051202,https://twitter.com/RepLucyMcBath
RepChuyGarcia,1082427779583541248,https://twitter.com/RepChuyGarcia
RepKendraHorn,1083019402046513152,https://twitter.com/RepKendraHorn
RepCasten,1083472286089396224,https://twitter.com/RepCasten
RepDLesko,996094929733652481,https://twitter.com/RepDLesko
RepWexton,1017819745880543238,https://twitter.com/RepWexton
