Token,Uid,Link
WydenPress,292495654,https://twitter.com/WydenPress
TomUdallPress,325231436,https://twitter.com/TomUdallPress
SenMurphyOffice,2853793517,https://twitter.com/SenMurphyOffice
SenCoonsOffice,435500714,https://twitter.com/SenCoonsOffice
JohnKennedyLA,26594419,https://twitter.com/JohnKennedyLA
GrassleyPress,294126378,https://twitter.com/GrassleyPress
GaryPeters,145292853,https://twitter.com/GaryPeters
DianneFeinstein,378631423,https://twitter.com/DianneFeinstein
SenJohnHoeven,382791093,https://twitter.com/SenJohnHoeven
BobMenendezNJ,407039290,https://twitter.com/BobMenendezNJ
LindseyGrahamSC,432895323,https://twitter.com/LindseyGrahamSC
MarthaMcSally,482450423,https://twitter.com/MarthaMcSally
SenatorTester,515822213,https://twitter.com/SenatorTester
MikeCrapo,600463589,https://twitter.com/MikeCrapo
SenatorHassan,946549322,https://twitter.com/SenatorHassan
SenKevinCramer,1048784496,https://twitter.com/SenKevinCramer
SenAngusKing,1068481578,https://twitter.com/SenAngusKing
SenTedCruz,1074480192,https://twitter.com/SenTedCruz
SenatorSinema,1080844782,https://twitter.com/SenatorSinema
MartinHeinrich,1099199839,https://twitter.com/MartinHeinrich
senatemajldr,1249982359,https://twitter.com/senatemajldr
joniernst,1383059977,https://twitter.com/joniernst
BenSasse,1480852568,https://twitter.com/BenSasse
DanSullivan_AK,1869975300,https://twitter.com/DanSullivan_AK
SenBooker,2167097881,https://twitter.com/SenBooker
robportman,2612307559,https://twitter.com/robportman
sendavidperdue,2863210809,https://twitter.com/sendavidperdue
SenatorRounds,2955485182,https://twitter.com/SenatorRounds
SenThomTillis,2964174789,https://twitter.com/SenThomTillis
VanHollenForMD,3067974778,https://twitter.com/VanHollenForMD
SenKamalaHarris,803694179079458816,https://twitter.com/SenKamalaHarris
SenJohnKennedy,816683274076614656,https://twitter.com/SenJohnKennedy
gillibrandny,899978622416695297,https://twitter.com/gillibrandny
SenDougJones,941080085121175552,https://twitter.com/SenDougJones
SenBillCassidy,1017500185356853248,https://twitter.com/SenBillCassidy
SenatorBraun,1080870981877534720,https://twitter.com/SenatorBraun
DrRandPaul,39834947,https://twitter.com/DrRandPaul
MichaelBennet,45645232,https://twitter.com/MichaelBennet
brianschatz,47747074,https://twitter.com/brianschatz
BillCassidy,55677432,https://twitter.com/BillCassidy
SenatorTomUdall,60828944,https://twitter.com/SenatorTomUdall
SenGillibrand,72198806,https://twitter.com/SenGillibrand
SenStabenow,76456274,https://twitter.com/SenStabenow
SenatorIsakson,78403308,https://twitter.com/SenatorIsakson
tammybaldwin,87510313,https://twitter.com/tammybaldwin
maziehirono,92186819,https://twitter.com/maziehirono
SenatorCardin,109071031,https://twitter.com/SenatorCardin
Boozman4AR,111671288,https://twitter.com/Boozman4AR
SenatorCantwell,117501995,https://twitter.com/SenatorCantwell
SenRickScott,131546062,https://twitter.com/SenRickScott
MurrayCampaign,158470209,https://twitter.com/MurrayCampaign
mazieforhawaii,169198625,https://twitter.com/mazieforhawaii
timkaine,172858784,https://twitter.com/timkaine
SenJohnBarrasso,202206694,https://twitter.com/SenJohnBarrasso
BernieSanders,216776631,https://twitter.com/BernieSanders
SenatorTimScott,217543151,https://twitter.com/SenatorTimScott
JeffMerkley,223166587,https://twitter.com/JeffMerkley
SenatorLankford,225921757,https://twitter.com/SenatorLankford
SenToddYoung,234128524,https://twitter.com/SenToddYoung
SenCoryGardner,235217558,https://twitter.com/SenCoryGardner
DougJones,239548513,https://twitter.com/DougJones
SenatorLeahy,242836537,https://twitter.com/SenatorLeahy
SenatorCarper,249787913,https://twitter.com/SenatorCarper
JohnnyIsakson,253252536,https://twitter.com/JohnnyIsakson
SenatorWicker,264219447,https://twitter.com/SenatorWicker
SenBlumenthal,278124059,https://twitter.com/SenBlumenthal
SenatorEnzi,291756142,https://twitter.com/SenatorEnzi
SenJohnThune,296361085,https://twitter.com/SenJohnThune
DickDurbin,308794407,https://twitter.com/DickDurbin
TammyforIL,328679423,https://twitter.com/TammyforIL
Maggie_Hassan,361569788,https://twitter.com/Maggie_Hassan
JimInhofe,7270292,https://twitter.com/JimInhofe
ChuckGrassley,10615232,https://twitter.com/ChuckGrassley
SteveDaines,11651202,https://twitter.com/SteveDaines
GrahamBlog,14845376,https://twitter.com/GrahamBlog
marcorubio,15745368,https://twitter.com/marcorubio
jontester,16473577,https://twitter.com/jontester
lisamurkowski,18061669,https://twitter.com/lisamurkowski
JerryMoran,18632666,https://twitter.com/JerryMoran
senrobportman,18915145,https://twitter.com/senrobportman
stabenow,20113797,https://twitter.com/stabenow
CoryGardner,20879626,https://twitter.com/CoryGardner
SenatorBurr,21157904,https://twitter.com/SenatorBurr
SenMarkey,21406834,https://twitter.com/SenMarkey
SenAmyKlobuchar,22044727,https://twitter.com/SenAmyKlobuchar
tedcruz,23022687,https://twitter.com/tedcruz
PatToomey,26062385,https://twitter.com/PatToomey
kevincramer,28267055,https://twitter.com/kevincramer
SenSanders,29442313,https://twitter.com/SenSanders
JohnBoozman,5558312,https://twitter.com/JohnBoozman
MarkWarner,7429102,https://twitter.com/MarkWarner
RogerWicker,11650762,https://twitter.com/RogerWicker
JohnCornyn,13218102,https://twitter.com/JohnCornyn
JeanneShaheen,14125897,https://twitter.com/JeanneShaheen
ChrisCoons,15324851,https://twitter.com/ChrisCoons
CoryBooker,15808765,https://twitter.com/CoryBooker
SenSchumer,17494010,https://twitter.com/SenSchumer
ChrisVanHollen,18137749,https://twitter.com/ChrisVanHollen
SenatorMenendez,18695134,https://twitter.com/SenatorMenendez
SenatorCollins,19726613,https://twitter.com/SenatorCollins
kyrstensinema,20747881,https://twitter.com/kyrstensinema
SenShelby,21111098,https://twitter.com/SenShelby
RoyBlunt,21269970,https://twitter.com/RoyBlunt
LamarAlexander,21669223,https://twitter.com/LamarAlexander
ThomTillis,22195441,https://twitter.com/ThomTillis
SherrodBrown,24768753,https://twitter.com/SherrodBrown
johnthune,26533227,https://twitter.com/johnthune
SenJeffMerkley,29201047,https://twitter.com/SenJeffMerkley
KamalaHarris,30354991,https://twitter.com/KamalaHarris
amyklobuchar,33537967,https://twitter.com/amyklobuchar
MariaCantwell,35567751,https://twitter.com/MariaCantwell
SenSherrodBrown,43910797,https://twitter.com/SenSherrodBrown
TinaSmithMN,47724293,https://twitter.com/TinaSmithMN
MittRomney,50055701,https://twitter.com/MittRomney
ToddYoungIN,59969802,https://twitter.com/ToddYoungIN
VoteMarsha,63150856,https://twitter.com/VoteMarsha
SenPatRoberts,75364211,https://twitter.com/SenPatRoberts
SenAlexander,76649729,https://twitter.com/SenAlexander
votetimscott,81191343,https://twitter.com/votetimscott
SenMikeLee,88784440,https://twitter.com/SenMikeLee
Bob_Casey,94154021,https://twitter.com/Bob_Casey
SenatorShaheen,109287731,https://twitter.com/SenatorShaheen
JoeManchinWV,113355380,https://twitter.com/JoeManchinWV
WydenForOregon,122124607,https://twitter.com/WydenForOregon
RonJohnsonWI,142332083,https://twitter.com/RonJohnsonWI
ChrisMurphyCT,150078976,https://twitter.com/ChrisMurphyCT
LisaForSenate,151247615,https://twitter.com/LisaForSenate
CapitoforWV,158890005,https://twitter.com/CapitoforWV
SenBobCasey,171598736,https://twitter.com/SenBobCasey
SenCapito,193794406,https://twitter.com/SenCapito
BurrForSenate,213339899,https://twitter.com/BurrForSenate
RandPaul,216881337,https://twitter.com/RandPaul
SenToomey,221162525,https://twitter.com/SenToomey
SenatorBennet,224285242,https://twitter.com/SenatorBennet
SenRonJohnson,233737858,https://twitter.com/SenRonJohnson
Sen_JoeManchin,234374703,https://twitter.com/Sen_JoeManchin
SenGaryPeters,236511574,https://twitter.com/SenGaryPeters
SenWhitehouse,242555999,https://twitter.com/SenWhitehouse
SenatorDurbin,247334603,https://twitter.com/SenatorDurbin
RonWyden,250188760,https://twitter.com/RonWyden
cindyhydesmith,262192574,https://twitter.com/cindyhydesmith
BenCardinforMD,278094476,https://twitter.com/BenCardinforMD
MarshaBlackburn,278145569,https://twitter.com/MarshaBlackburn
PattyMurray,293131808,https://twitter.com/PattyMurray
ScottforFlorida,306389855,https://twitter.com/ScottforFlorida
DebFischerNE,323490669,https://twitter.com/DebFischerNE
TomCottonAR,343041182,https://twitter.com/TomCottonAR
ewarren,357606935,https://twitter.com/ewarren
TomCarperforDE,381577682,https://twitter.com/TomCarperforDE
RoyBluntMO,389554914,https://twitter.com/RoyBluntMO
MarkWarnerVA,409719505,https://twitter.com/MarkWarnerVA
SenFeinstein,476256944,https://twitter.com/SenFeinstein
