full_name,party,first_name,last_name
Jeff Sessions,R,jeff,sessions
Luther Strange,R,luther,strange
Doug Jones,D,doug,jones
Richard Shelby,R,richard,shelby
Dan Sullivan,R,dan,sullivan
Lisa Murkowski,R,lisa,murkowski
Jeff Flake,R,jeff,flake
John McCain,R,john,mccain
Jon Kyl,R,jon,kyl
Tom Cotton,R,tom,cotton
John Boozman,R,john,boozman
Dianne Feinstein,D,dianne,feinstein
Kamala Harris,D,kamala,harris
Cory Gardner,R,cory,gardner
Michael Bennet,D,michael,bennet
Chris Murphy,D,chris,murphy
Richard Blumenthal,D,richard,blumenthal
Tom Carper,D,tom,carper
Chris Coons,D,chris,coons
Bill Nelson,D,bill,nelson
Marco Rubio,R,marco,rubio
David Perdue,R,david,perdue
Johnny Isakson,R,johnny,isakson
Mazie Hirono,D,mazie,hirono
Brian Schatz,D,brian,schatz
Jim Risch,R,jim,risch
Mike Crapo,R,mike,crapo
Dick Durbin,D,dick,durbin
Tammy Duckworth,D,tammy,duckworth
Joe Donnelly,D,joe,donnelly
Todd Young,R,todd,young
Joni Ernst,R,joni,ernst
Chuck Grassley,R,chuck,grassley
Pat Roberts,R,pat,roberts
Jerry Moran,R,jerry,moran
Mitch McConnell,R,mitch,mcconnell
Rand Paul,R,rand,paul
Bill Cassidy,R,bill,cassidy
John Kennedy,R,john,kennedy
Angus King,D,angus,king
Susan Collins,R,susan,collins
Ben Cardin,D,ben,cardin
Chris Van Hollen,D,chris,hollen
Elizabeth Warren,D,elizabeth,warren
Ed Markey,D,ed,markey
Debbie Stabenow,D,debbie,stabenow
Gary Peters,D,gary,peters
Amy Klobuchar,D,amy,klobuchar
Al Franken,D,al,franken
Tina Smith,D,tina,smith
Roger Wicker,R,roger,wicker
Thad Cochran,R,thad,cochran
Cindy Hyde-Smith,R,cindy,hyde-smith
Claire McCaskill,D,claire,mccaskill
Roy Blunt,R,roy,blunt
Jon Tester,D,jon,tester
Steve Daines,R,steve,daines
Deb Fischer,R,deb,fischer
Ben Sasse,R,ben,sasse
Dean Heller,R,dean,heller
Catherine Cortez Masto,D,catherine,masto
Jeanne Shaheen,D,jeanne,shaheen
Maggie Hassan,D,maggie,hassan
Bob Menendez,D,bob,menendez
Cory Booker,D,cory,booker
Martin Heinrich,D,martin,heinrich
Tom Udall,D,tom,udall
Kirsten Gillibrand,D,kirsten,gillibrand
Chuck Schumer,D,chuck,schumer
Thom Tillis,R,thom,tillis
Richard Burr,R,richard,burr
John Hoeven,R,john,hoeven
Sherrod Brown,D,sherrod,brown
Rob Portman,R,rob,portman
Jim Inhofe,R,jim,inhofe
James Lankford,R,james,lankford
Jeff Merkley,D,jeff,merkley
Ron Wyden,D,ron,wyden
Bob Casey Jr.,D,bob,casey
Pat Toomey,R,pat,toomey
Sheldon Whitehouse,D,sheldon,whitehouse
Jack Reed,D,jack,reed
Lindsey Graham,R,lindsey,graham
Tim Scott,R,tim,scott
Mike Rounds,R,mike,rounds
John Thune,R,john,thune
Bob Corker,R,bob,corker
Lamar Alexander,R,lamar,alexander
Ted Cruz,R,ted,cruz
John Cornyn,R,john,cornyn
Orrin Hatch,R,orrin,hatch
Mike Lee,R,mike,lee
Bernie Sanders,D,bernie,sanders
Patrick Leahy,D,patrick,leahy
Tim Kaine,D,tim,kaine
Mark Warner,D,mark,warner
Maria Cantwell,D,maria,cantwell
Patty Murray,D,patty,murray
Joe Manchin,D,joe,manchin
Shelley Moore Capito,R,shelley,capito
Tammy Baldwin,D,tammy,baldwin
Ron Johnson,R,ron,johnson
John Barrasso,R,john,barrasso
Mike Enzi,R,mike,enzi
Bradley Byrne,R,bradley,byrne
Martha Roby,R,martha,roby
Mike Rogers,R,mike,rogers
Robert Aderholt,R,robert,aderholt
Mo Brooks,R,mo,brooks
Gary Palmer,R,gary,palmer
Terri Sewell,D,terri,sewell
Don Young,R,don,young
Tom O'Halleran,D,tom,o'halleran
Martha McSally,R,martha,mcsally
Raul Grijalva,D,raul,grijalva
Paul Gosar,R,paul,gosar
Andy Biggs,R,andy,biggs
David Schweikert,R,david,schweikert
Ruben Gallego,D,ruben,gallego
Trent Franks,R,trent,franks
Debbie Lesko,R,debbie,lesko
Kyrsten Sinema,D,kyrsten,sinema
Rick Crawford,R,rick,crawford
French Hill,R,french,hill
Steve Womack,R,steve,womack
Bruce Westerman,R,bruce,westerman
Doug LaMalfa,R,doug,lamalfa
Jared Huffman,D,jared,huffman
John Garamendi,D,john,garamendi
Tom McClintock,R,tom,mcclintock
Mike Thompson,D,mike,thompson
Doris Matsui,D,doris,matsui
Ami Bera,D,ami,bera
Paul Cook,R,paul,cook
Jerry McNerney,D,jerry,mcnerney
Jeff Denham,R,jeff,denham
Mark DeSaulnier,D,mark,desaulnier
Nancy Pelosi,D,nancy,pelosi
Barbara Lee,D,barbara,lee
Jackie Speier,D,jackie,speier
Eric Swalwell,D,eric,swalwell
Jim Costa,D,jim,costa
Ro Khanna,D,ro,khanna
Anna Eshoo,D,anna,eshoo
Zoe Lofgren,D,zoe,lofgren
Jimmy Panetta,D,jimmy,panetta
David Valadao,R,david,valadao
Devin Nunes,R,devin,nunes
Kevin McCarthy,R,kevin,mccarthy
Salud Carbajal,D,salud,carbajal
Steve Knight,R,steve,knight
Julia Brownley,D,julia,brownley
Judy Chu,D,judy,chu
Adam Schiff,D,adam,schiff
Tony Cardenas,D,tony,cardenas
Brad Sherman,D,brad,sherman
Pete Aguilar,D,pete,aguilar
Grace Napolitano,D,grace,napolitano
Ted Lieu,D,ted,lieu
Xavier Becerra,D,xavier,becerra
Jimmy Gomez,D,jimmy,gomez
Norma Torres,D,norma,torres
Raul Ruiz,D,raul,ruiz
Karen Bass,D,karen,bass
Linda Sanchez,D,linda,sanchez
Ed Royce,R,ed,royce
Lucille Roybal-Allard,D,lucille,roybal-allard
Mark Takano,D,mark,takano
Ken Calvert,R,ken,calvert
Maxine Waters,D,maxine,waters
Nanette Barragan,D,nanette,barragan
Mimi Walters,R,mimi,walters
Lou Correa,D,lou,correa
Alan Lowenthal,D,alan,lowenthal
Dana Rohrabacher,R,dana,rohrabacher
Darrell Issa,R,darrell,issa
Duncan D. Hunter,R,duncan,hunter
Juan Vargas,D,juan,vargas
Scott Peters,D,scott,peters
Susan Davis,D,susan,davis
Diana DeGette,D,diana,degette
Jared Polis,D,jared,polis
Scott Tipton,R,scott,tipton
