twitter_account,twitter_user,full_name,party,followers,tweet_count,retweets_total,favorites_total,retweets_per_tweet,favorites_per_tweet
RalphNorman,Ralph Norman,Ralph Norman,R,2832,226,944,3257,4.176991150442478,14.41150442477876
LouieGohmertTX1,Louie Gohmert,Louie Gohmert,R,6893,24,860,1609,35.833333333333336,67.04166666666667
RepDanKildee,Rep. Dan Kildee,Dan Kildee,D,53319,2864,177964,454997,62.13826815642458,158.86766759776538
RepRubenGallego,Ruben Gallego,Ruben Gallego,D,88520,2120,156149,385361,73.65518867924528,181.77405660377357
Kilili_Sablan,Del. Kilili Sablan,Gregorio Sablan,D,1963,1292,2747,5975,2.126160990712074,4.624613003095975
MarthaMcSallyAZ,Martha McSally,Martha McSally,R,27403,732,40928,145666,55.91256830601093,198.99726775956285
barrforcongress,Andy Barr,Andy Barr,R,5031,714,5444,15510,7.624649859943977,21.722689075630253
SenAmyKlobuchar,Senator Amy Klobuchar,Amy Klobuchar,D,81770,667,16112,48318,24.15592203898051,72.44077961019491
DanSullivan_AK,Dan Sullivan,Dan Sullivan,R,4741,23,14,78,0.6086956521739131,3.391304347826087
RonWyden,Ron Wyden,Ron Wyden,D,524449,5801,2118772,4718725,365.24254438889847,813.43302878814
KenCalvert,Ken Calvert,Ken Calvert,R,23590,2348,17201,59402,7.325809199318569,25.298977853492335
RonJohnsonWI,Ron Johnson,Ron Johnson,R,26087,58,615,2710,10.60344827586207,46.724137931034484
RepDanCrenshaw,Rep. Dan Crenshaw,Dan Crenshaw,R,667183,711,1074609,4678059,1511.4050632911392,6579.548523206751
JeffFortenberry,Jeff Fortenberry,Jeff Fortenberry,R,24627,1786,9171,31711,5.134938409854423,17.75531914893617
BenMcAdams,Ben McAdams,Ben McAdams,D,18527,342,4461,25423,13.043859649122806,74.33625730994152
RepPittenger,Congressman Robert Pittenger,Robert Pittenger,R,14310,1535,3095,7709,2.01628664495114,5.022149837133551
RepRyanZinke,Ryan Zinke,Ryan Zinke,R,9273,6,240,575,40.0,95.83333333333333
louiseslaughter,Louise Slaughter,Louise Slaughter,D,22349,1053,10715,24059,10.175688509021843,22.848053181386515
KatherineClark,Katherine Clark,Katherine Clark,D,12852,212,2528,7985,11.924528301886792,37.66509433962264
RepJuanVargas,Rep. Juan Vargas,Juan Vargas,D,26873,1175,19591,52120,16.673191489361702,44.35744680851064
Eshoo4Congress,Eshoo for Congress,Anna Eshoo,D,938,29,32,89,1.103448275862069,3.0689655172413794
TomGravesGA14,Archive: Tom Graves,Tom Graves,R,2917,148,332,906,2.2432432432432434,6.121621621621622
repkevinhern,Kevin Hern,Kevin Hern,R,6686,272,7098,18508,26.095588235294116,68.04411764705883
RepLawrence,Brenda Lawrence,Brenda Lawrence,D,29763,2333,17282,45753,7.407629661380197,19.61123017573939
RepCohen,Steve Cohen,Steve Cohen,D,84583,4328,373513,1094631,86.30152495378928,252.91843807763402
Axne4Congress,Cindy Axne,Cindy Axne,D,15805,907,9878,30158,10.890848952590959,33.250275633958104
RepJoeMorelle,Joe Morelle,Joseph D. Morelle,D,10285,1833,8066,32459,4.400436442989634,17.708128750681944
grace4congress,Grace Napolitano,Grace Napolitano,D,592,4,3,3,0.75,0.75
RepMarcyKaptur,Marcy Kaptur,Marcy Kaptur,D,25496,2053,30901,74334,15.051631758402339,36.207501217730155
SenBobCorker,Senator Bob Corker,Bob Corker,R,375727,1047,368602,1244072,352.0553963705826,1188.225405921681
RepGwenMoore,Rep. Gwen Moore,Gwen Moore,D,44838,2827,82339,208337,29.125928546162008,73.69543685886099
