first_name,last_name,party
jeff,sessions,R
luther,strange,R
doug,jones,D
richard,shelby,R
dan,sullivan,R
lisa,murkowski,R
jeff,flake,R
john,mccain,R
jon,kyl,R
tom,cotton,R
john,boozman,R
dianne,feinstein,D
kamala,harris,D
cory,gardner,R
michael,bennet,D
chris,murphy,D
richard,blumenthal,D
tom,carper,D
chris,coons,D
bill,nelson,D
marco,rubio,R
david,perdue,R
johnny,isakson,R
mazie,hirono,D
brian,schatz,D
jim,risch,R
mike,crapo,R
dick,durbin,D
tammy,duckworth,D
joe,donnelly,D
todd,young,R
joni,ernst,R
chuck,grassley,R
pat,roberts,R
jerry,moran,R
mitch,mcconnell,R
rand,paul,R
bill,cassidy,R
john,kennedy,R
angus,king,I(D)
susan,collins,R
ben,cardin,D
chris,hollen,D
elizabeth,warren,D
ed,markey,D
debbie,stabenow,D
gary,peters,D
amy,klobuchar,D
al,franken,D
tina,smith,D
roger,wicker,R
thad,cochran,R
cindy,hydesmith,R
claire,mccaskill,D
roy,blunt,R
jon,tester,D
steve,daines,R
deb,fischer,R
ben,sasse,R
dean,heller,R
catherine,masto,D
jeanne,shaheen,D
maggie,hassan,D
bob,menendez,D
cory,booker,D
martin,heinrich,D
tom,udall,D
kirsten,gillibrand,D
chuck,schumer,D
thom,tillis,R
richard,burr,R
john,hoeven,R
sherrod,brown,D
rob,portman,R
jim,inhofe,R
james,lankford,R
jeff,merkley,D
ron,wyden,D
bob,casey,D
pat,toomey,R
sheldon,whitehouse,D
jack,reed,D
lindsey,graham,R
tim,scott,R
mike,rounds,R
john,thune,R
bob,corker,R
lamar,alexander,R
ted,cruz,R
john,cornyn,R
orrin,hatch,R
mike,lee,R
bernie,sanders,I(D)
patrick,leahy,D
tim,kaine,D
mark,warner,D
maria,cantwell,D
patty,murray,D
joe,manchin,D
shelley,capito,R
tammy,baldwin,D
ron,johnson,R
john,barrasso,R
mike,enzi,R
bradley,byrne,R
martha,roby,R
mike,rogers,R
robert,aderholt,R
mo,brooks,R
gary,palmer,R
terri,sewell,D
don,young,R
tom,ohalleran,D
martha,mcsally,R
raul,grijalva,D
paul,gosar,R
andy,biggs,R
david,schweikert,R
ruben,gallego,D
trent,franks,R
debbie,lesko,R
kyrsten,sinema,D
rick,crawford,R
french,hill,R
steve,womack,R
bruce,westerman,R
doug,lamalfa,R
jared,huffman,D
john,garamendi,D
tom,mcclintock,R
mike,thompson,D
doris,matsui,D
ami,bera,D
paul,cook,R
jerry,mcnerney,D
jeff,denham,R
mark,desaulnier,D
nancy,pelosi,D
barbara,lee,D
jackie,speier,D
eric,swalwell,D
jim,costa,D
ro,khanna,D
anna,eshoo,D
zoe,lofgren,D
jimmy,panetta,D
david,valadao,R
devin,nunes,R
kevin,mccarthy,R
salud,carbajal,D
steve,knight,R
julia,brownley,D
judy,chu,D
adam,schiff,D
tony,cardenas,D
brad,sherman,D
pete,aguilar,D
grace,napolitano,D
ted,lieu,D
xavier,becerra,D
jimmy,gomez,D
norma,torres,D
raul,ruiz,D
karen,bass,D
linda,sanchez,D
ed,royce,R
lucille,roybalallard,D
mark,takano,D
ken,calvert,R
maxine,waters,D
nanette,barragan,D
mimi,walters,R
lou,correa,D
alan,lowenthal,D
dana,rohrabacher,R
darrell,issa,R
duncan,hunter,R
juan,vargas,D
scott,peters,D
susan,davis,D
diana,degette,D
jared,polis,D
scott,tipton,R
ken,buck,R
doug,lamborn,R
mike,coffman,R
ed,perlmutter,D
john,larson,D
joe,courtney,D
rosa,delauro,D
jim,himes,D
elizabeth,esty,D
lisa,rochester,D
matt,gaetz,R
neal,dunn,R
ted,yoho,R
john,rutherford,R
al,lawson,D
ron,desantis,R
stephanie,murphy,D
bill,posey,R
darren,soto,D
val,demings,D
daniel,webster,R
gus,bilirakis,R
charlie,crist,D
kathy,castor,D
dennis,ross,R
vern,buchanan,R
tom,rooney,R
brian,mast,R
francis,rooney,R
alcee,hastings,D
lois,frankel,D
ted,deutch,D
debbie,schultz,D
frederica,wilson,D
mario,diazbalart,R
carlos,curbelo,R
ileana,roslehtinen,R
buddy,carter,R
sanford,bishop,D
drew,ferguson,R
hank,johnson,D
john,lewis,D
tom,price,R
karen,handel,R
rob,woodall,R
austin,scott,R
doug,collins,R
jody,hice,R
barry,loudermilk,R
rick,allen,R
david,scott,D
tom,graves,R
colleen,hanabusa,D
tulsi,gabbard,D
raul,labrador,R
mike,simpson,R
bobby,rush,D
robin,kelly,D
dan,lipinski,D
luis,gutierrez,D
mike,quigley,D
peter,roskam,R
danny,davis,D
raja,krishnamoorthi,D
jan,schakowsky,D
brad,schneider,D
bill,foster,D
mike,bost,R
rodney,davis,R
randy,hultgren,R
john,shimkus,R
adam,kinzinger,R
cheri,bustos,D
darin,lahood,R
pete,visclosky,D
jackie,walorski,R
jim,banks,R
todd,rokita,R
susan,brooks,R
luke,messer,R
andre,carson,D
larry,bucshon,R
trey,hollingsworth,R
rod,blum,R
dave,loebsack,D
david,young,R
steve,king,R
roger,marshall,R
lynn,jenkins,R
kevin,yoder,R
mike,pompeo,R
ron,estes,R
james,comer,R
brett,guthrie,R
john,yarmuth,D
thomas,massie,R
hal,rogers,R
andy,barr,R
steve,scalise,R
cedric,richmond,D
clay,higgins,R
mike,johnson,R
ralph,abraham,R
garret,graves,R
chellie,pingree,D
bruce,poliquin,R
andy,harris,R
dutch,ruppersberger,D
john,sarbanes,D
anthony,brown,D
steny,hoyer,D
john,delaney,D
elijah,cummings,D
jamie,raskin,D
richard,neal,D
jim,mcgovern,D
niki,tsongas,D
joseph,kennedy,D
katherine,clark,D
seth,moulton,D
mike,capuano,D
stephen,lynch,D
bill,keating,D
jack,bergman,R
bill,huizenga,R
justin,amash,R
john,moolenaar,R
dan,kildee,D
fred,upton,R
tim,walberg,R
mike,bishop,R
sander,levin,D
paul,mitchell,R
dave,trott,R
debbie,dingell,D
john,conyers,D
brenda,jones,D
brenda,lawrence,D
tim,walz,D
jason,lewis,R
erik,paulsen,R
betty,mccollum,D
keith,ellison,D
tom,emmer,R
collin,peterson,D
rick,nolan,D
trent,kelly,R
bennie,thompson,D
gregg,harper,R
steven,palazzo,R
lacy,clay,D
ann,wagner,R
blaine,luetkemeyer,R
vicky,hartzler,R
emanuel,cleaver,D
sam,graves,R
billy,long,R
jason,smith,R
ryan,zinke,R
greg,gianforte,R
jeff,fortenberry,R
don,bacon,R
adrian,smith,R
dina,titus,D
mark,amodei,R
jacky,rosen,D
ruben,kihuen,D
carol,sheaporter,D
ann,kuster,D
donald,norcross,D
frank,lobiondo,R
tom,macarthur,R
chris,smith,R
josh,gottheimer,D
frank,pallone,D
leonard,lance,R
albio,sires,D
bill,pascrell,D
donald,payne,D
rodney,frelinghuysen,R
bonnie,coleman,D
michelle,grisham,D
steve,pearce,R
ben,lujan,D
lee,zeldin,R
peter,king,R
thomas,suozzi,D
kathleen,rice,D
gregory,meeks,D
grace,meng,D
nydia,velazquez,D
hakeem,jeffries,D
yvette,clarke,D
jerrold,nadler,D
dan,donovan,R
carolyn,maloney,D
adriano,espaillat,D
joseph,crowley,D
jose,serrano,D
eliot,engel,D
nita,lowey,D
sean,maloney,D
john,faso,R
paul,tonko,D
elise,stefanik,R
claudia,tenney,R
tom,reed,R
john,katko,R
louise,slaughter,D
joseph,morelle,D
brian,higgins,D
chris,collins,R
g.,butterfield,D
george,holding,R
walter,jones,R
david,price,D
virginia,foxx,R
mark,walker,R
david,rouzer,R
richard,hudson,R
robert,pittenger,R
patrick,mchenry,R
mark,meadows,R
alma,adams,D
ted,budd,R
kevin,cramer,R
steve,chabot,R
brad,wenstrup,R
joyce,beatty,D
jim,jordan,R
bob,latta,R
bill,johnson,R
bob,gibbs,R
warren,davidson,R
marcy,kaptur,D
mike,turner,R
marcia,fudge,D
pat,tiberi,R
troy,balderson,R
tim,ryan,D
david,joyce,R
steve,stivers,R
jim,renacci,R
jim,bridenstine,R
kevin,hern,R
markwayne,mullin,R
frank,lucas,R
