user,first_name,last_name,party
SenJonKyl,jon,kyl,R
DougJones,doug,jones,D
timkaine,tim,kaine,D
LindseyGrahamSC,lindsey,graham,R
SenBooker,cory,booker,D
SenKamalaHarris,kamala,harris,D
senorrinhatch,orrin,hatch,R
SenSanders,sander,levin,D
SenThomTillis,thom,tillis,R
JerryMoran,jerry,moran,R
SenCapito,shelley,capito,R
SenatorHassan,maggie,hassan,D
SenatorCarper,tom,carper,D
MartinHeinrich,martin,heinrich,D
SteveDaines,steve,daines,R
SenToomey,pat,toomey,R
SenToddYoung,todd,young,R
SenBillNelson,bill,nelson,D
SenJohnBarrasso,john,barrasso,R
SenMurphyOffice,chris,murphy,D
SenatorRounds,ro,khanna,D
MikeCrapo,mike,crapo,R
SenJohnThune,john,thune,R
SenJohnMcCain,john,mccain,R
SenatorCollins,collin,peterson,D
PattyMurray,patty,murray,D
SenFeinstein,dianne,feinstein,D
McCaskillOffice,claire,mccaskill,D
SenAlexander,lamar,alexander,R
SenJackReed,jack,reed,D
ChuckGrassley,chuck,grassley,R
SenCortezMasto,catherine,masto,D
SenPatRoberts,pat,roberts,R
SenatorCardin,ben,cardin,D
SenDeanHeller,dean,heller,R
RonWyden,ron,wyden,D
SenatorDurbin,dick,durbin,D
SenatorShaheen,jeanne,shaheen,D
SenDuckworth,tammy,duckworth,D
SenWhitehouse,sheldon,whitehouse,D
SenTomCotton,tom,cotton,R
SenSherrodBrown,sherrod,brown,D
SenBobCorker,bob,corker,R
SenatorTomUdall,tom,udall,D
McConnellPress,mitch,mcconnell,R
SenatorLankford,james,lankford,R
SenTedCruz,ted,cruz,R
SenatorEnzi,mike,enzi,R
SenGaryPeters,gary,peters,D
JeffFlake,jeff,flake,R
SenatorIsakson,johnny,isakson,R
InhofePress,jim,inhofe,R
GrahamBlog,lindsey,graham,R
SenRubioPress,marco,rubio,R
SenAngusKing,angus,king,D
SenGillibrand,kirsten,gillibrand,D
SenBobCasey,bob,casey,D
ChrisVanHollen,chris,hollen,D
SenThadCochran,thad,cochran,R
SenatorBurr,richard,burr,R
senrobportman,rob,portman,R
